
=== Experiment 9: rolling-window dQ stopping rule (large graphs) ===

-- amazon_full (N=334863, M=925872, CNM merges=333311, trace_ms=80827)
method	W	k	sided	stop_at	of_merges	frac	K	Q	F1	NMI
T3-diff-2sided	15	2.50	2	2448	333311	0.007	332415	0.003	0.241	0.822
T3-diff-1sided	15	2.50	1	2448	333311	0.007	332415	0.003	0.241	0.822
T3-diff-2sided	15	3.00	2	2448	333311	0.007	332415	0.003	0.241	0.822
T3-diff-1sided	15	3.00	1	2448	333311	0.007	332415	0.003	0.241	0.822
T3-diff-2sided	20	1.00	2	4926	333311	0.015	329937	0.005	0.241	0.822
T3-diff-1sided	20	1.00	1	4926	333311	0.015	329937	0.005	0.241	0.822
T3-diff-2sided	20	2.00	2	4926	333311	0.015	329937	0.005	0.241	0.822
T3-diff-1sided	20	2.00	1	4926	333311	0.015	329937	0.005	0.241	0.822
T3-diff-2sided	20	2.50	2	4926	333311	0.015	329937	0.005	0.241	0.822
T3-diff-1sided	20	2.50	1	4926	333311	0.015	329937	0.005	0.241	0.822
T3-diff-2sided	20	3.00	2	4926	333311	0.015	329937	0.005	0.241	0.822
T3-diff-1sided	20	3.00	1	4926	333311	0.015	329937	0.005	0.241	0.822
leiden-roll-1sided	15	2.00	1	32	32	-	334831	0.000	0.240	0.822	(total_ms=1371)
leiden-roll-2sided	15	2.00	2	32	32	-	334831	0.000	0.240	0.822	(total_ms=1218)

-- dblp_full (N=317080, M=1049866, CNM merges=313922, trace_ms=189524)
method	W	k	sided	stop_at	of_merges	frac	K	Q	F1	NMI
CNM-full	-	-	-	313922	313922	1.000	3158	0.733	0.351	0.495
roll-1sided	10	1.75	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	1.75	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	10	1.90	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	1.90	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	10	2.00	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	2.00	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	10	2.50	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-2sided	10	2.50	2	1722	313922	0.005	315358	0.002	0.167	0.716
roll-1sided	15	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	1.75	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	15	1.90	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	1.90	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	15	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	2.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	15	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	15	2.50	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	1.75	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	1.90	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	1.90	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	2.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-1sided	20	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-2sided	20	2.50	2	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	10	1.75	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-log	10	2.00	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-log	10	2.50	1	1722	313922	0.005	315358	0.002	0.167	0.716
roll-log	15	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	15	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	15	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	20	1.75	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	20	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-log	20	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
roll-rel25	15	2.00	1	30319	313922	0.097	286761	0.040	0.183	0.718
roll-rel50	15	2.00	1	30319	313922	0.097	286761	0.040	0.183	0.718
roll-rel25	15	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
roll-rel50	15	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
roll-rel25	20	2.00	1	30350	313922	0.097	286730	0.040	0.183	0.718
roll-rel50	20	2.00	1	30350	313922	0.097	286730	0.040	0.183	0.718
roll-rel25	20	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
roll-rel50	20	2.50	1	30407	313922	0.097	286673	0.041	0.183	0.718
T1-2sided-k1	10	1.00	2	1722	313922	0.005	315358	0.002	0.167	0.716
T1-2sided-k1	15	1.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T1-2sided-k1	20	1.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T2-short-1sided	5	3.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-2sided	5	3.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-1sided	5	4.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-2sided	5	4.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-1sided	5	5.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-2sided	5	5.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-1sided	7	3.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T2-short-2sided	7	3.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T2-short-1sided	7	4.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T2-short-2sided	7	4.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T2-short-1sided	7	5.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T2-short-2sided	7	5.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T2-short-1sided	10	3.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-2sided	10	3.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-1sided	10	4.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-2sided	10	4.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-1sided	10	5.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T2-short-2sided	10	5.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-2sided	10	1.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-1sided	10	1.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-2sided	10	2.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-1sided	10	2.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-2sided	10	2.50	2	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-1sided	10	2.50	1	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-2sided	10	3.00	2	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-1sided	10	3.00	1	3948	313922	0.013	313132	0.004	0.167	0.716
T3-diff-2sided	15	1.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	15	1.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-2sided	15	2.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	15	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-2sided	15	2.50	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	15	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-2sided	15	3.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	15	3.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-2sided	20	1.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	20	1.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-2sided	20	2.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	20	2.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-2sided	20	2.50	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	20	2.50	1	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-2sided	20	3.00	2	1721	313922	0.005	315359	0.002	0.167	0.716
T3-diff-1sided	20	3.00	1	1721	313922	0.005	315359	0.002	0.167	0.716
leiden-roll-1sided	15	2.00	1	16	16	-	317064	0.000	0.167	0.716	(total_ms=859)
leiden-roll-2sided	15	2.00	2	16	16	-	317064	0.000	0.167	0.716	(total_ms=973)
